,,,,,,
Date,Winner/tie,,Loser/tie,PtsW,PtsL,
2022-01-15,Buffalo Bills,,New England Patriots,47,17,
2022-01-15,Cincinnati Bengals,,Las Vegas Raiders,26,19,
2022-01-16,Kansas City Chiefs,,Pittsburgh Steelers,42,21,
2022-01-16,San Francisco 49ers,@,Dallas Cowboys,23,17,
2022-01-16,Tampa Bay Buccaneers,,Philadelphia Eagles,31,15,
2022-01-17,Los Angeles Rams,,Arizona Cardinals,34,11,
2022-01-22,Cincinnati Bengals,@,Tennessee Titans,19,16,
2022-01-22,San Francisco 49ers,@,Green Bay Packers,13,10,
2022-01-23,Kansas City Chiefs,,Buffalo Bills,42,36,
2022-01-23,Los Angeles Rams,@,Tampa Bay Buccaneers,30,27,
2022-01-30,Cincinnati Bengals,@,Kansas City Chiefs,27,24,
2022-01-30,Los Angeles Rams,,San Francisco 49ers,20,17,
2022-02-13,Los Angeles Rams,N,Cincinnati Bengals,23,20,
